B00, 19
B08, Blotteritem, {'type': 'Trade', 'time': 124.066666666636, 'price': 219, 'party1': 'B08', 'party2': 'S15', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 178.95416666658608, 'price': 212, 'party1': 'B08', 'party2': 'S41', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 197.6833333332357, 'price': 206, 'party1': 'B08', 'party2': 'S38', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 211.77916666655622, 'price': 203, 'party1': 'B08', 'party2': 'S13', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 272.2499999998346, 'price': 239, 'party1': 'B08', 'party2': 'S24', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 282.6624999998251, 'price': 157, 'party1': 'S45', 'party2': 'B08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 332.6874999997796, 'price': 205, 'party1': 'B08', 'party2': 'S86', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 372.82083333307645, 'price': 252, 'party1': 'B08', 'party2': 'S81', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 420.26666666636663, 'price': 213, 'party1': 'B08', 'party2': 'S11', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 442.85833333301275, 'price': 185, 'party1': 'S09', 'party2': 'B08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 458.64166666633173, 'price': 236, 'party1': 'B08', 'party2': 'S02', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 489.64166666630354, 'price': 217, 'party1': 'S87', 'party2': 'B08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 521.6791666664064, 'price': 219, 'party1': 'B08', 'party2': 'S59', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 562.2875000002568, 'price': 236, 'party1': 'B08', 'party2': 'S80', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 580.0708333338166, 'price': 195, 'party1': 'S72', 'party2': 'B08', 'qty': 1}
B09, 18
B09, Blotteritem, {'type': 'Trade', 'time': 19.770833333332533, 'price': 204, 'party1': 'B09', 'party2': 'S59', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 37.22500000000266, 'price': 206, 'party1': 'B09', 'party2': 'S15', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 112.79166666664625, 'price': 216, 'party1': 'B09', 'party2': 'S32', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 170.45833333326047, 'price': 220, 'party1': 'B09', 'party2': 'S16', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 195.51249999990435, 'price': 205, 'party1': 'S72', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 233.9708333332027, 'price': 205, 'party1': 'B09', 'party2': 'S07', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 241.59583333319577, 'price': 212, 'party1': 'S72', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 273.69166666649994, 'price': 206, 'party1': 'S09', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 311.27083333313243, 'price': 216, 'party1': 'B09', 'party2': 'S73', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 341.17916666643856, 'price': 211, 'party1': 'S36', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 381.737499999735, 'price': 182, 'party1': 'S06', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 422.13749999969826, 'price': 203, 'party1': 'B09', 'party2': 'S30', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 445.26249999967723, 'price': 187, 'party1': 'S43', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 481.1708333329779, 'price': 206, 'party1': 'S68', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 510.31666666628473, 'price': 258, 'party1': 'S54', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 522.3916666664155, 'price': 181, 'party1': 'S86', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 562.7541666669295, 'price': 235, 'party1': 'B09', 'party2': 'S71', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 588.9750000005967, 'price': 204, 'party1': 'B09', 'party2': 'S53', 'qty': 1}
B10, 20
B10, Blotteritem, {'type': 'Trade', 'time': 33.01249999999931, 'price': 204, 'party1': 'B10', 'party2': 'S70', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 53.87083333334924, 'price': 204, 'party1': 'B10', 'party2': 'S91', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 116.46666666664291, 'price': 212, 'party1': 'B10', 'party2': 'S56', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 121.7208333333048, 'price': 219, 'party1': 'B10', 'party2': 'S30', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 153.21666666660948, 'price': 220, 'party1': 'B10', 'party2': 'S30', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 171.55833333325947, 'price': 217, 'party1': 'B10', 'party2': 'S77', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 209.10416666655865, 'price': 205, 'party1': 'B10', 'party2': 'S11', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 240.05833333319717, 'price': 210, 'party1': 'S67', 'party2': 'B10', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 242.36249999986174, 'price': 208, 'party1': 'B10', 'party2': 'S38', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 274.8874999998322, 'price': 194, 'party1': 'S05', 'party2': 'B10', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 321.22499999979004, 'price': 207, 'party1': 'B10', 'party2': 'S26', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 359.00416666642235, 'price': 248, 'party1': 'B10', 'party2': 'S20', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 375.31249999974085, 'price': 232, 'party1': 'S74', 'party2': 'B10', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 402.9083333330491, 'price': 181, 'party1': 'B10', 'party2': 'S61', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 441.90416666634695, 'price': 219, 'party1': 'S02', 'party2': 'B10', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 459.6666666663308, 'price': 231, 'party1': 'B10', 'party2': 'S93', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 510.5083333329512, 'price': 254, 'party1': 'B10', 'party2': 'S46', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 527.1374999998093, 'price': 192, 'party1': 'B10', 'party2': 'S66', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 541.8249999999963, 'price': 175, 'party1': 'S31', 'party2': 'B10', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 575.4458333337577, 'price': 191, 'party1': 'B10', 'party2': 'S58', 'qty': 1}
B11, 15
B11, Blotteritem, {'type': 'Trade', 'time': 125.17499999996832, 'price': 211, 'party1': 'S34', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 179.54166666658554, 'price': 204, 'party1': 'B11', 'party2': 'S14', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 236.37499999986719, 'price': 207, 'party1': 'S31', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 276.74583333316383, 'price': 217, 'party1': 'B11', 'party2': 'S70', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 287.38333333315416, 'price': 140, 'party1': 'S03', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 325.662499999786, 'price': 184, 'party1': 'S85', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 357.0333333330908, 'price': 201, 'party1': 'S12', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 390.57916666639363, 'price': 207, 'party1': 'S85', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 401.7749999997168, 'price': 186, 'party1': 'B11', 'party2': 'S45', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 448.87499999967395, 'price': 244, 'party1': 'S57', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 472.14166666631945, 'price': 175, 'party1': 'B11', 'party2': 'S07', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 520.8208333330622, 'price': 193, 'party1': 'B11', 'party2': 'S13', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 539.6124999999681, 'price': 168, 'party1': 'S58', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 568.3916666670012, 'price': 248, 'party1': 'S90', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 594.6583333340024, 'price': 217, 'party1': 'S36', 'party2': 'B11', 'qty': 1}
B12, 19
B12, Blotteritem, {'type': 'Trade', 'time': 19.383333333332555, 'price': 205, 'party1': 'B12', 'party2': 'S45', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 39.20833333333757, 'price': 207, 'party1': 'S36', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 113.12499999997928, 'price': 215, 'party1': 'B12', 'party2': 'S22', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 152.64166666661, 'price': 221, 'party1': 'B12', 'party2': 'S88', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 171.00833333325997, 'price': 219, 'party1': 'B12', 'party2': 'S57', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 209.37083333322508, 'price': 204, 'party1': 'B12', 'party2': 'S26', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 214.19166666655403, 'price': 197, 'party1': 'S12', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 256.4999999998489, 'price': 214, 'party1': 'S74', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 307.2208333331361, 'price': 222, 'party1': 'B12', 'party2': 'S85', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 326.7291666664517, 'price': 205, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 342.4208333331041, 'price': 219, 'party1': 'S61', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 374.1874999997419, 'price': 246, 'party1': 'S54', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 415.25833333303785, 'price': 211, 'party1': 'B12', 'party2': 'S05', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 439.7791666663489, 'price': 210, 'party1': 'S38', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 479.5541666663127, 'price': 212, 'party1': 'S42', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 510.35833333295136, 'price': 255, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 527.0916666664754, 'price': 211, 'party1': 'B12', 'party2': 'S96', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 570.4875000003613, 'price': 245, 'party1': 'B12', 'party2': 'S45', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 596.1416666673546, 'price': 219, 'party1': 'S67', 'party2': 'B12', 'qty': 1}
B13, 19
B13, Blotteritem, {'type': 'Trade', 'time': 2.8583333333333703, 'price': 169, 'party1': 'S66', 'party2': 'B13', 'qty': 1}
